Index,Time (s) Adjusted,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123_Mean2
1,0.0,7747.123,2574.508,12161.346,2462.802,14104.745,2615.235,15032.773,2728.679,12077.854,2594.418,11858.0,3221.764,13887.979,2220.208,7895.792,2347.986,7453.441,2174.044,16687.094,2581.656,18358.949,3473.2,17232.465,2242.69,14559.612,2180.674,16765.285,2173.405,11837.745,2268.655
2,0.1,7679.846,2543.4,12134.247,2447.0,13796.451,2577.333,14691.717,2691.962,11789.272,2556.4,11741.348,3236.639,13476.229,2206.854,7778.403,2325.514,7280.603,2151.838,16161.594,2553.625,18233.268,3437.367,17127.793,2245.086,14681.633,2162.428,16622.072,2158.738,11671.31,2258.291
3,0.2,7653.615,2540.877,12063.481,2431.519,13527.568,2568.627,14495.151,2662.094,11808.055,2565.6,11756.056,3237.542,13345.667,2204.125,7762.611,2315.889,7227.838,2152.235,16296.656,2533.344,18223.801,3413.633,16992.758,2251.259,14743.612,2171.633,16520.072,2167.024,11580.582,2252.854
4,0.3,7630.677,2539.938,12044.469,2436.58,13328.667,2560.961,14256.434,2655.792,11517.745,2542.782,11757.306,3232.431,13083.896,2202.396,7728.611,2316.986,7127.529,2151.206,16232.219,2531.062,18075.732,3416.467,16267.862,2249.431,14428.122,2188.551,16134.833,2165.69,11535.836,2260.273
5,0.4,7622.938,2532.354,11986.58,2437.716,13131.353,2540.765,14191.868,2669.755,11450.31,2542.291,11756.639,3208.0,13159.917,2200.5,7729.514,2315.333,7061.588,2152.221,16177.562,2546.656,17946.316,3397.0,16277.345,2252.017,13585.796,2163.551,16237.096,2170.81,11492.473,2243.545
6,0.5,7603.892,2545.277,11958.704,2441.531,12967.451,2548.373,13952.943,2636.717,11426.0,2552.636,11723.277,3220.111,13516.479,2212.333,7716.514,2318.472,7265.544,2146.294,16077.125,2536.438,18001.1,3412.167,16227.982,2255.19,13707.612,2160.551,16311.333,2175.119,11430.255,2234.836
7,0.6,7607.246,2542.923,11916.42,2442.716,12765.745,2558.314,13764.792,2648.396,11416.964,2547.218,11695.723,3132.097,13533.75,2211.042,7743.306,2323.667,7238.706,2152.427,15844.531,2540.156,17941.949,3418.6,16242.311,2262.259,13792.408,2177.163,16300.0,2176.119,11459.546,2228.127
8,0.7,7587.8,2531.539,11901.741,2438.136,12566.157,2560.941,13888.849,2647.358,11245.109,2586.309,11714.75,3126.306,13387.083,2206.896,7726.306,2313.903,7206.221,2151.779,15836.188,2566.719,17871.617,3389.55,16266.879,2247.517,13907.51,2163.245,16303.929,2162.833,11446.055,2228.182
9,0.8,7518.308,2548.046,11882.42,2443.753,12696.039,2539.961,13755.981,2654.415,11342.473,2600.436,11750.027,3131.806,13495.875,2204.229,7719.694,2308.792,7196.324,2150.471,15712.281,2558.594,17872.449,3397.483,16198.121,2255.69,13943.041,2171.428,16220.096,2160.5,11391.654,2219.636
10,0.9,7530.277,2544.646,11922.889,2441.42,12616.138,2536.059,13629.113,2641.094,11394.728,2580.618,11740.931,3131.972,13478.208,2197.0,7718.083,2312.903,7175.029,2154.868,15941.281,2568.219,17837.367,3378.783,16168.914,2252.138,14058.408,2170.51,16013.0,2153.619,11381.437,2218.0
