Index,Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123_Mean2
1,0.0,13000.049,2654.049,15186.378,2634.324,17941.486,2656.143,18683.584,2727.138,17051.277,2389.638,17000.889,2718.667,16527.227,2608.023,21007.246,2864.652,11529.0,2591.319,17560.146,2202.635,16670.74,2282.685,19073.035,2235.228,19957.936,2235.762,8917.638,2160.385,25542.312,2269.896,15757.0,2160.532
2,0.1,12787.819,2629.18,15028.919,2597.406,17505.371,2621.629,18695.631,2805.954,16698.277,2377.085,16895.834,2697.722,16145.932,2600.818,20669.174,2823.073,11395.125,2540.875,17576.062,2188.896,16456.686,2268.0,18929.211,2233.088,19658.619,2218.27,8802.802,2181.725,25185.188,2263.396,15309.851,2191.958
3,0.2,12669.295,2624.656,14978.352,2580.838,17281.029,2615.743,18639.678,2803.615,16559.361,2387.617,16238.889,2647.333,16064.022,2547.477,20440.174,2801.725,11282.417,2525.736,17508.01,2199.25,16392.834,2268.0,18800.158,2236.351,19529.127,2215.683,8761.099,2179.45,25019.229,2261.771,15223.574,2183.298
4,0.3,12652.181,2624.361,14890.811,2582.513,17307.4,2616.886,18504.707,2809.908,16676.127,2384.234,16476.084,2648.972,16076.522,2552.682,20234.885,2795.783,11038.361,2492.667,17527.865,2204.802,16323.037,2273.259,18759.316,2239.263,19460.016,2217.349,8737.385,2176.802,24925.541,2248.312,15056.341,2203.319
5,0.4,12607.033,2614.443,14808.973,2592.703,17160.0,2586.343,18506.477,2811.461,16620.361,2377.766,16539.416,2649.389,15981.75,2556.864,20037.711,2817.87,11047.708,2487.597,17492.615,2199.073,16297.759,2263.13,18726.457,2234.281,19475.143,2214.508,8677.099,2176.242,24782.75,2247.146,15324.383,2208.489
6,0.5,12537.655,2599.541,14733.676,2600.054,16913.656,2584.314,18433.477,2813.508,16364.681,2383.042,16575.584,2653.639,15902.068,2557.932,19866.928,2812.0,10998.944,2465.847,17506.938,2199.917,16235.814,2266.13,18695.07,2238.526,19420.936,2217.302,8654.165,2180.89,24798.625,2242.25,15433.702,2198.979
7,0.6,12478.754,2584.623,14680.162,2577.594,16953.715,2564.229,18372.691,2804.677,16386.469,2384.468,16612.305,2667.611,15854.25,2569.091,19581.318,2822.014,10931.889,2459.861,17460.334,2189.729,16175.426,2257.778,18643.0,2235.702,19472.27,2210.905,8642.011,2170.132,24694.666,2247.875,15532.298,2206.915
8,0.7,12481.394,2576.279,14730.838,2585.73,17062.029,2570.114,18377.584,2808.323,16440.49,2388.681,16593.416,2669.944,15775.25,2565.545,19841.318,2800.927,10929.639,2457.319,17478.666,2186.281,16178.056,2249.0,18621.229,2220.807,19425.016,2212.921,8585.242,2180.176,24716.834,2238.708,15551.255,2209.872
9,0.8,12409.688,2571.934,14633.108,2572.703,16882.172,2560.686,18371.092,2812.308,16242.298,2374.936,15588.083,2668.5,15583.182,2565.0,19718.869,2796.58,10954.069,2460.597,17426.219,2187.292,16183.426,2243.944,18586.877,2223.351,19450.127,2203.508,8533.626,2183.363,24672.604,2239.979,15526.979,2215.511
10,0.9,12368.787,2559.525,14583.378,2576.487,16797.457,2569.2,18301.0,2818.231,16214.574,2382.128,15586.194,2656.167,15527.818,2573.25,19446.088,2786.333,10935.473,2455.083,17447.084,2180.812,16134.777,2236.87,18539.824,2209.386,19437.889,2188.587,8523.89,2183.594,24704.938,2242.375,15560.319,2203.766
