Index,Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2
1,0.0,8475.423,2698.372,11238.87,3951.778,8200.578,2306.122,5839.138,2447.625,8297.728,2378.606,12702.145,2769.623,15603.14,2264.38,7475.388,2991.328,6036.422,2549.25,8786.558,2186.885,6339.318,2405.409,8142.924,2576.946,12837.619,2269.699,35046.426,2887.387,19520.254,2516.253
2,0.1,8448.897,2659.718,11229.519,3870.537,8130.556,2287.322,5779.562,2421.825,7890.227,2361.939,12644.145,2755.623,15390.56,2257.46,7453.12,3025.03,5932.0,2503.281,9361.049,2157.066,6277.659,2374.875,7982.033,2554.0,12638.044,2261.513,34592.906,2841.267,19537.836,2486.101
3,0.2,8445.743,2666.692,10951.37,3853.426,8071.011,2285.933,5780.062,2419.012,7912.894,2402.47,12155.305,2778.275,15297.9,2259.34,7388.045,3003.164,5840.266,2486.328,9956.541,2128.672,6244.432,2351.943,7904.163,2555.207,12985.982,2258.319,34587.945,2850.947,19570.0,2493.405
4,0.3,8449.475,2653.667,10930.907,3746.056,8046.311,2271.0,5726.575,2405.625,7887.712,2382.894,12150.695,2768.652,15377.16,2248.04,7376.836,3008.657,5821.234,2475.062,10356.804,2127.754,6313.955,2371.739,7850.533,2552.641,13121.168,2268.018,34420.0,2836.253,19667.988,2488.177
5,0.4,8416.077,2664.705,10534.241,3804.037,8043.9,2259.767,5685.462,2382.9,7845.303,2407.53,12087.739,2739.536,15385.56,2258.6,7346.328,2981.537,5788.016,2475.141,10583.59,1674.688,6263.034,2365.739,7798.196,2559.978,13025.434,2262.257,33976.586,2832.36,19742.215,2486.848
6,0.5,8457.346,2662.41,10705.5,3733.5,8067.922,2234.633,5656.413,2376.2,7817.515,2375.045,12389.449,2668.232,15329.3,2245.18,7337.448,2965.672,5784.203,2478.172,10778.147,864.557,6321.989,2357.955,7769.989,2553.446,12868.726,2257.566,34012.668,2792.76,19514.025,2495.57
7,0.6,8433.013,2666.449,10669.852,3779.667,8060.267,2214.833,5664.025,2370.5,7687.667,2360.576,12408.58,2661.898,15203.78,2251.06,7349.88,2958.955,5728.625,2475.234,11276.787,174.23,6325.455,2355.068,7663.859,2561.88,13042.0,2256.558,34148.613,2801.107,19578.938,2493.62
8,0.7,8442.846,2658.051,10571.314,3780.87,8055.833,2195.389,5640.288,2356.95,7618.091,2394.242,12446.449,2656.029,15234.78,2262.88,7344.478,2953.0,5711.594,2470.25,8361.278,0.0,6295.205,2350.182,7625.261,2568.63,13022.495,2249.566,34258.066,2797.893,19621.354,2489.76
9,0.8,8449.18,2660.923,10820.593,3753.889,8063.922,2182.433,5618.837,2351.475,7608.485,2380.742,12088.318,2688.594,15246.12,2269.52,7390.597,2955.552,5691.344,2455.828,8630.345,0.0,6337.659,2362.648,7583.522,2565.87,12919.089,2254.85,34254.707,2799.693,18310.367,2467.861
10,0.9,8431.243,2673.705,10832.277,3755.222,8082.511,2177.089,5618.013,2353.575,7409.758,2393.197,12146.362,2673.739,15321.34,2260.62,7378.746,2950.508,5661.375,2456.453,8464.36,0.0,6318.17,2353.716,7501.25,2571.109,12983.797,2248.195,34061.375,2792.707,18363.988,2464.456
11,1.0,8434.141,2672.987,10808.259,3774.333,8065.622,2172.678,5613.862,2349.05,7518.288,2388.439,12251.841,2678.522,15318.44,2260.08,7373.358,2944.015,5633.844,2462.375,8089.017,0.0,6242.727,2349.807,7457.098,2560.033,13016.212,2243.991,34011.68,2776.08,19423.621,2480.342
