Time (s) Adjusted,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123
0.0,-8.073084055921608,14.195960580063854,-17.85508135394405,-33.318105635381684,-58.9934576341973,-43.94957638620694,8.88655478240603,1.3883407503521,-3.3273058211791415,0.5692268561068019,4.85209885312463,20.526944036856246,-7.910961151642985,56.74797131610328,-20.131807514819787
0.1,-8.733564263581325,15.230066374361186,-20.015947036138847,-35.54740075094442,-60.64990181314159,-44.98844504277785,4.605413608033128,-0.47034898090366895,-6.231167737427051,-3.401172081752108,4.21819801879842,19.672526847450616,-6.60092679877074,55.32816485444025,-21.75350443401591
0.2,-9.131980572098296,15.340693000016515,-22.091043276597574,-36.66963878418416,-60.43663819678745,-44.76236633021279,3.2942452736487375,-0.5453620931282632,-7.2169272550134025,-2.0920426983306477,4.363908526287611,18.53141678382469,-6.053068788548213,54.13419008612452,-22.528209385741015
0.3,-9.49461848853483,16.078975560064038,-23.587272965526424,-38.320998617057384,-62.21478946220941,-44.60107915535612,0.5316713494729584,-1.2018036113273318,-9.110240093586885,-2.541898872032597,3.2728288381012547,12.504099911460223,-8.860640246953377,49.54715058533855,-22.906913898400127
0.4,-9.39771781159467,16.080552718699806,-24.9649703451706,-38.734595920180766,-62.551582939054036,-44.28831903542947,1.478901514358487,-1.1015040259725595,-10.367452981521794,-3.0572303787280664,2.488411989182657,12.606711056824373,-15.892469695567463,50.92388135002934,-22.98059532753978
0.5,-9.970560818274489,16.630215673124752,-26.295580633359712,-40.17326541919035,-62.65632993510017,-44.57818726181674,5.354928705822136,-1.3769322183692232,-6.176776575005083,-3.7340504053867036,2.8239428033887,12.210229733412277,-14.717033611828182,51.962621864027966,-23.37691063473745
0.6,-9.75064427708599,16.921518774974714,-27.963198493346596,-41.56357493061378,-62.53802882335655,-43.94603098124102,5.650401280929678,-0.8939511926816817,-6.7652040623296985,-5.592377753282997,2.3717302823121944,12.315889138617692,-14.03493496597584,51.98087924502851,-22.701901464561956
0.7,-9.820717910182218,17.885793597329197,-29.551621315852707,-40.339972946803506,-63.90985684898968,-43.62409731195742,4.177508011187527,-0.9904490897380498,-7.3313168866848555,-5.821861473615151,2.101490705403208,12.690690452599014,-12.822876766186827,52.36493318400038,-22.621071247091486
0.8,-11.531235698446281,18.528972667452564,-28.17545811708718,-41.24904332898967,-63.16735347595454,-43.25900136784621,5.492550428130215,-0.9716863573162584,-7.439935572151576,-6.705418888523673,2.087197858000046,12.089350463332362,-12.496512190750323,51.52450065795684,-22.927964665322918
0.9,-11.108556409624232,20.554360134359385,-28.704117374803808,-41.94625293143872,-62.50510906980775,-43.23369500277317,5.469386551909526,-1.0377563471172149,-7.885123925878633,-4.878439635746211,2.0034090172849623,11.918603954625365,-11.395392297732478,49.21161097951536,-22.78916179858962
