Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123
0.0,-0.6441580002123448,2.651049895398696,19.147707997101783,7.849642740408642,4.974369061771002,-30.47927674962221,-24.869334432533513,16.911824562573003,15.770852488359772,3.314979961302601,3.7452609052841694,-13.963035102120429,-10.991485124328168,-20.38952114283896,-13.64273495890859,0.5090781753833618
0.1,-2.599848288591346,1.6039569415471036,15.768312359540928,7.417637938306829,2.3905609227489926,-30.89497325615916,-27.476820553738857,14.82748475153602,14.661825194477476,3.6228213563413583,2.1928438793884535,-14.724593628327465,-12.750578236196276,-22.33835307058029,-15.234736967688185,-3.4971750766178538
0.2,-3.761184273107258,1.366833175668269,13.960181446444558,7.07985113800653,1.2892518029979172,-35.20541888008004,-27.502582145957838,13.400341210720082,13.355463683265896,3.108912612843387,1.7409428457855363,-15.42139343393616,-13.382918332786783,-22.708465721428567,-15.850460484390673,-4.058028292071059
0.3,-3.870242505361581,0.612850267812501,14.24270043908626,6.114301949381829,2.280504907675841,-33.23918041773814,-27.26069976434862,12.03443739832526,10.4660459203794,3.2998454544344256,1.1980555149144045,-15.501147057268799,-13.607651221293317,-22.779806517799642,-16.025797267155255,-5.56112193659439
0.4,-4.1786555314124385,-0.16749422733132846,13.306222630315062,6.162060644442517,1.9565415420572076,-32.56023849618139,-27.813189795984815,10.520956445932331,10.722753121818634,3.1574661938988235,1.1416651326372218,-15.47074637058747,-13.187340616473861,-23.483473811927244,-16.523803254531867,-3.19630528565607
0.5,-4.695464748387669,-0.8600862545986754,11.276238151220582,5.670767323807448,-0.010272304313808434,-32.11277610302432,-28.230008409896275,9.409428884825182,10.401178165922623,3.34195718215922,0.680887805867215,-15.494995642630421,-13.313727247939134,-23.663317176021007,-16.1708334098853,-2.069386185488323
0.6,-5.098655654527349,-1.0698134393281187,11.858313485422535,5.344862275661688,0.20645231776747508,-31.734086183995185,-28.484483577785596,7.330440209218992,9.604273165155483,3.1469742924401984,0.3249427402539702,-15.614753147722158,-12.605893483857066,-23.416619709738608,-16.50217391544043,-1.1846370614766002
0.7,-4.906662865942003,-0.5907613294107996,12.803166508652176,5.3999977945014646,0.6517313169722527,-31.683582411935184,-28.862458621017005,9.518830812305719,9.66382753966191,3.3944074222368243,0.48421814334399826,-15.439594186419836,-12.67792509779942,-24.23914702118807,-16.095167616851278,-0.9415638652930269
0.8,-5.562991452030035,-1.3027133784251888,11.407075583747282,5.371164220006511,-0.7212339182038399,-38.95831559567925,-30.108188505207497,8.753055385821579,10.01453983783962,3.0696667005184555,0.6355187908267617,-15.474353363696885,-12.140940787259034,-24.8666029003624,-16.091795589620183,-1.0931551984622487
0.9,-5.798445817461842,-1.7227861539666236,10.673310302152537,4.872937687140684,-0.93356711535277,-38.67262199700151,-30.398413474567548,6.918286323613607,9.88742366000048,3.3592386704561825,0.36452597365775574,-15.483118311231195,-11.836693797718162,-24.76297322019059,-15.693472849578889,-0.600365208723332
1.0,-5.905729012501094,-1.989082698914233,11.738763035732902,4.817553901580114,-0.5001638550370169,-38.45940205273326,-30.09879646863753,7.445990351429714,9.283567707999069,3.1981058287942545,0.577934920378528,-14.906021032313452,-11.42467123488397,-24.59577648177212,-15.870858124682783,-2.8721214180146255
1.1,-6.3213510277067515,-2.327528560719884,11.688891815651125,4.675457919761856,-0.9603707496277725,-38.42922772206177,-30.18118410056799,7.011814892592994,7.853540564312716,3.0590045088656588,0.41162000735722515,-14.756240014620534,-11.137578622671832,-24.77087805828567,-16.00934865553155,-2.5349550317430314
1.2,-5.982563306694758,-2.62022834657591,9.772892113068831,4.169940130332069,-2.0788573031948276,-37.817443185470566,-30.04619245542601,5.900507862218845,5.658128081677532,3.1637418695403525,0.29507785121182195,-17.111607541433926,-10.66528741248029,-23.81298068340648,-16.364525851566434,-2.187850907238701
1.3,-6.391634586108212,-2.5036681872176363,11.474443293413728,2.4121707292704038,-1.890036783906365,-37.5605548017431,-29.76227392879363,5.809743417633381,4.382975693671341,3.0983658463288464,0.3626195346736516,-13.835726110705483,-10.425946529026682,-22.96411639643849,-16.355230170727808,0.04546285492405033
1.4,-5.380080511764676,-3.3719542729749463,11.71921244817836,0.6874474187750073,-1.7644751176270557,-31.912561673303884,-27.77893498371869,5.261691361846324,4.345607479273909,2.837320551314452,0.3122461131975758,-13.483783245676438,-10.252591917700009,-23.11825194965479,-16.299513705567826,-0.33714989470604095
1.5,-5.421519055648536,-3.859302964174713,12.099312182809438,-0.061239829375367094,-2.2649893362192985,-32.960964083131074,-27.54516540566165,5.420279696076658,3.160775410948448,2.685977629784027,0.4815909125320097,-12.897975510996499,-9.58840987001221,-22.95740205360037,-15.921390775020292,0.011290269553853705
1.6,-5.124787799490786,-3.6049989558898847,10.756901729496036,-0.8970833269896854,-2.2546985047439234,-32.62210083702944,-27.38291422296583,5.21080164299326,3.2715124600206504,2.700323100405699,0.49484439312528394,-12.351138917763226,-9.06370093610672,-22.92549465638852,-15.815982872037377,0.03325376142984737
1.7,-5.607165210932154,-4.665416045353112,10.709483818940882,-1.6042230772621693,-2.055640364401488,-32.9739783141336,-27.620494096608304,5.063102017679395,3.4952511470557397,2.385015065179717,0.2676225861455457,-11.554520366183304,-8.84982697914311,-22.654490409242463,-15.777117085679127,-0.4875327510670999
1.8,-5.565704754762004,-5.4938841255738815,10.326501784886624,4.822903469830866,-1.8585615406324516,-32.65748321207121,-27.449103926831246,5.193820207978863,4.237770188627852,2.756004642515432,0.44899421385311555,-11.59017197913499,-8.730913522266164,-22.926389349839376,-16.172666834774844,-0.31200829301985067
