Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123
0.0,-18.825313742069035,-97.77486961408562,-14.682751104990182,-16.424846458305456,-1440.0214120149958,1.5476634589427718,-13.56834111079364,-2.468464230422022,-6.978984764398167,-29.33102709231122,48.26005070044133,44.41936164659022,10.332428494336824,-6.029830470446271,40.60090998771971
0.1,-18.50610957681483,-94.54451972296333,-15.45064687520285,-17.316055265474443,-1395.027964827699,1.1914218513384114,-15.088748199584682,-3.7600116766400475,-8.718231984109444,-21.84957395724594,47.06356146872591,40.43110520320365,8.101625594914474,-7.3650419565767535,41.11736785800394
0.2,-18.556226327633926,-96.895723705927,-16.354632351201843,-17.11424914562483,-1345.755373233514,-5.124493921763609,-15.702173010140648,-4.743309903844255,-10.977673830571273,-14.12799211508739,46.72081648060253,38.20160569538529,12.642018214635215,-7.243159861807186,41.426576910202
0.3,-18.16078632043267,-93.47876683405597,-16.313787564019936,-18.191934990071708,-1298.042122994915,-4.857271049419246,-14.804584048197523,-5.086316399433223,-11.1024695716056,-9.138218753836725,48.83815027486125,36.808929025774596,14.365808196090391,-7.6358283675271785,42.4457050351112
0.4,-18.78033606091949,-99.11986300486738,-15.91035279086288,-18.629787629468023,-1253.031819551842,-5.085943596440206,-14.664322012214228,-5.107715643890999,-12.040615824857095,-0.7301307537639445,47.07621392536957,35.158795690639145,13.400119095764069,-9.090939534228912,43.21422204355153
0.5,-17.940892798059515,-93.18282993900397,-14.719465712515127,-19.184426378983552,-1208.4845987361018,-0.12917253229246484,-14.85649084442409,-4.878549178760383,-12.136193771754938,11.662554343457579,49.890806218257104,34.64386322276545,11.659799997154018,-8.634627731001839,41.15169967778867
0.6,-18.294583146536436,-92.67006774677908,-14.252315943230066,-18.68813526980888,-1167.4815496044982,0.39682170468523736,-15.772020040603948,-4.35555437197952,-13.690651413040673,26.315695662821476,50.230400513950045,31.35325369648966,13.991921325031413,-7.985918901395596,41.84144617035841
0.7,-17.875742103743242,-92.48575597938886,-13.729791928734333,-18.88444250227314,-1127.8028542933268,1.1551001928864224,-15.458381830623654,-4.28175666282629,-13.952119535238927,-7.241481881044361,49.27003265884229,30.130596385624095,13.992344363473535,-7.392848496647321,42.34466461054683
0.8,-17.702065860169185,-86.06321010187483,-13.089955618929759,-19.251409498550956,-1087.839716350072,-3.6248996212243974,-15.263255494512254,-3.1689311711345773,-14.015561000093587,-3.8722838236723494,50.57833762836075,29.098049731067256,12.792110305943297,-7.2372080608568155,30.749162490708294
0.9,-18.095451931525787,-84.1017174009599,-12.394292522589692,-19.233765523600447,-1052.813179941579,-2.496181675444216,-14.419966979591745,-3.272918590148577,-14.867984131126523,-5.839646357618308,50.22485351025411,26.615195300177895,13.838960714833945,-7.754098244247061,31.349768623771105
