 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,33.378,19520.254,7914.346,4835,34078,33.378,2516.253,80.876,2339,2707
2,33.378,19537.836,7618.882,4748,34538,33.378,2486.101,81.824,2297,2716
3,33.378,19570.000,7383.358,5510,33377,33.378,2493.405,78.271,2334,2652
4,33.378,19667.988,7191.596,5335,33798,33.378,2488.177,78.987,2305,2704
5,33.378,19742.215,7177.105,5221,33945,33.378,2486.848,78.829,2313,2668
6,33.378,19514.025,7375.587,6807,33981,33.378,2495.570,80.875,2287,2690
7,33.378,19578.938,7369.958,6858,34286,33.378,2493.620,79.938,2323,2694
8,33.378,19621.354,7315.736,6784,34274,33.378,2489.760,79.271,2292,2652
9,33.378,18310.367,8635.724,3674,33912,33.378,2467.861,83.563,2270,2693
10,33.378,18363.988,8562.282,3633,34030,33.378,2464.456,84.428,2266,2692
11,33.378,19423.621,6969.342,5117,32512,33.378,2480.342,68.087,2309,2644
12,33.378,19029.822,8283.643,4538,34245,33.378,2465.899,78.909,2265,2624
13,33.378,18824.430,8519.475,4516,34967,33.378,2478.025,86.162,2279,2689
14,33.378,18857.898,8392.643,3852,34171,33.378,2477.240,88.445,2272,2739
15,33.378,18762.785,8438.424,3685,34318,33.378,2468.228,77.892,2308,2701
16,33.378,18664.988,8488.721,3688,34005,33.378,2476.595,77.023,2249,2639
17,33.378,18595.873,8521.670,3807,34107,33.378,2475.038,76.444,2318,2680
18,33.378,18482.607,8500.771,3800,34073,33.378,2467.266,77.750,2289,2655
19,33.378,18381.178,8544.106,3788,34173,33.378,2475.443,66.667,2350,2631
20,33.378,18228.912,8507.166,3806,33770,33.378,2471.595,75.999,2305,2714
21,33.378,18105.229,8543.861,3834,33916,33.378,2475.886,67.762,2331,2696
22,33.378,18012.531,8514.396,3912,33340,33.378,2471.430,79.202,2264,2646
23,33.378,17930.113,8474.887,3859,33574,33.378,2463.203,75.757,2256,2619
24,33.378,17848.570,8463.920,3829,33336,33.378,2470.987,85.013,2298,2667
25,33.378,17718.152,8420.086,3972,33197,33.378,2475.152,84.055,2296,2814
26,33.378,17632.266,8372.674,3835,32596,33.378,2462.215,75.074,2302,2671
27,33.378,17515.785,8336.781,3955,33026,33.378,2474.126,80.490,2315,2659
28,33.378,17387.975,8317.408,3838,32871,33.378,2474.962,78.609,2312,2633
29,33.378,17317.051,8229.234,3879,32453,33.378,2470.177,78.435,2257,2647
30,33.378,17200.861,8167.233,3868,32505,33.378,2475.734,79.362,2338,2678
31,33.378,17129.139,8154.411,3918,32073,33.378,2466.835,75.018,2291,2629
32,33.378,16979.785,8046.345,3935,31790,33.378,2466.975,83.872,2302,2633
33,33.378,16863.443,8001.810,3928,31067,33.378,2471.911,82.767,2247,2689
34,33.378,16788.305,7991.215,3713,31127,33.378,2465.240,76.428,2262,2648
35,33.378,16637.152,7923.745,3835,30850,33.378,2467.456,76.577,2308,2691
36,33.378,16561.721,7907.948,3896,31090,33.378,2465.279,81.301,2211,2655
37,33.378,16452.949,7805.457,3776,30885,33.378,2472.165,82.498,2309,2667
38,33.378,16369.607,7769.497,3875,30798,33.378,2463.544,75.880,2294,2675
39,33.378,16272.278,7722.473,3942,30091,33.378,2465.874,87.216,2200,2777
40,33.378,16228.329,7672.213,3963,30036,33.378,2464.152,84.907,2292,2640
41,33.378,16113.418,7645.124,3853,29868,33.378,2471.570,84.152,2241,2698
42,33.378,15981.911,7558.230,3879,30147,33.378,2472.949,75.670,2306,2707
43,33.378,15916.304,7511.421,3807,29684,33.378,2464.937,72.884,2310,2648
44,33.378,15890.646,7491.062,3706,29668,33.378,2469.152,70.378,2332,2674
45,33.378,15727.684,7398.916,3798,28910,33.378,2476.240,79.492,2272,2651
46,33.378,15612.646,7354.839,3836,28978,33.378,2467.810,73.985,2303,2642
47,33.378,15576.962,7291.992,3887,28492,33.378,2462.215,75.867,2291,2645
48,33.378,15515.405,7257.652,3816,28709,33.378,2469.721,84.382,2281,2702
49,33.378,15404.316,7162.005,3849,28354,33.378,2469.709,79.199,2304,2752
50,33.378,15347.734,7100.658,3784,27987,33.378,2465.089,88.186,2226,2697
51,33.378,15308.278,7063.167,3829,27852,33.378,2459.089,76.949,2312,2689
52,33.378,15210.253,7029.479,3658,28222,33.378,2467.240,73.832,2287,2698
53,33.378,15162.102,7010.819,3739,27904,33.378,2464.595,77.643,2303,2666
54,33.378,15100.443,6958.143,3743,28088,33.378,2473.126,77.271,2322,2680
55,33.378,15058.102,6935.855,3940,27923,33.378,2465.633,80.240,2222,2636
56,33.378,14965.342,6864.134,3859,27325,33.378,2472.684,75.942,2301,2660
57,33.378,14903.304,6834.683,3830,27548,33.378,2471.190,76.502,2284,2696
58,33.378,14831.000,6845.329,3856,27012,33.378,2464.620,77.126,2292,2616
59,33.378,14776.076,6757.896,3743,26807,33.378,2461.152,82.778,2236,2666
60,33.378,14728.557,6765.348,3819,26870,33.378,2466.190,83.350,2299,2672
61,33.378,14673.811,6746.136,3763,26894,33.378,2458.456,76.578,2289,2619
62,33.378,14666.823,6714.237,3872,26769,33.378,2461.342,81.549,2289,2683
63,33.378,14637.367,6638.821,3864,26447,33.378,2459.506,87.573,2242,2662
64,33.378,14589.494,6622.336,3675,26612,33.378,2467.240,75.369,2265,2646
65,33.378,14509.076,6557.251,3831,26257,33.378,2462.240,75.172,2273,2688
66,33.378,14502.114,6565.375,3681,26382,33.378,2463.215,73.683,2300,2668
