 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,23.238,11837.745,3302.813,4437,16320,23.238,2268.655,90.068,2107,2433
2,23.238,11671.310,3255.440,4210,15985,23.238,2258.291,89.594,2091,2479
3,23.238,11580.582,3245.637,4123,16284,23.238,2252.854,86.503,2116,2467
4,23.238,11535.836,3233.570,4166,15974,23.238,2260.273,96.996,2079,2446
5,23.238,11492.473,3250.814,4169,15831,23.238,2243.545,92.494,2104,2438
6,23.238,11430.255,3220.611,4106,15659,23.238,2234.836,86.842,2103,2396
7,23.238,11459.546,3214.751,4253,16020,23.238,2228.127,96.151,2083,2383
8,23.238,11446.055,3272.070,4254,15706,23.238,2228.182,95.530,2043,2432
9,23.238,11391.654,3222.904,4304,15649,23.238,2219.636,87.280,2081,2412
10,23.238,11381.437,3185.658,4170,15738,23.238,2218.000,89.592,2038,2465
11,23.238,11310.764,3180.016,4287,15795,23.238,2213.273,84.016,2085,2356
12,23.238,11296.981,3200.538,4137,15744,23.238,2211.491,89.118,2052,2450
13,23.238,11276.690,3121.552,4328,15360,23.238,2220.691,91.289,2068,2375
14,23.238,11216.582,3177.153,4430,15528,23.238,2225.273,96.517,2054,2460
15,23.238,11257.546,3182.952,4284,15680,23.238,2226.946,80.439,2098,2430
16,23.238,11253.673,3180.796,4424,15348,23.238,2229.054,96.514,2057,2391
17,23.238,11252.654,3168.380,4495,15565,23.238,2230.527,81.518,2054,2399
18,23.238,11220.000,3163.078,4443,15393,23.238,2228.273,89.398,2066,2434
19,23.238,11220.509,3161.583,4563,15645,23.238,2238.655,82.482,2093,2398
20,23.238,11227.709,3159.717,4520,15720,23.238,2230.164,87.125,2063,2417
21,23.238,11214.382,3187.308,4375,15640,23.238,2226.018,106.949,1973,2479
22,23.238,11231.272,3136.462,4479,15554,23.238,2222.636,85.737,2072,2422
23,23.238,11202.873,3163.681,4398,15502,23.238,2222.146,91.150,2064,2448
24,23.238,11257.728,3202.110,4499,15659,23.238,2219.891,76.806,2087,2402
25,23.238,11279.400,3146.959,4542,15570,23.238,2222.054,83.086,2080,2414
26,23.238,11220.218,3135.875,4549,15668,23.238,2231.327,81.287,2083,2426
27,23.238,11303.182,3156.471,4531,15703,23.238,2230.400,81.600,2086,2435
28,23.238,11336.437,3186.616,4582,16139,23.238,2219.073,85.635,2056,2354
29,23.238,11334.854,3203.037,4454,16182,23.238,2216.927,85.766,2085,2391
30,23.238,11336.182,3194.844,4404,15669,23.238,2210.964,91.996,2051,2417
31,23.238,11324.164,3200.631,4518,15590,23.238,2215.800,87.813,2067,2381
32,23.238,11353.782,3172.192,4522,15976,23.238,2237.509,87.894,2028,2401
33,23.238,11318.728,3161.165,4530,15832,23.238,2221.218,91.905,2038,2452
34,23.238,11286.673,3158.733,4423,15576,23.238,2224.146,97.885,2053,2397
35,23.238,11307.800,3193.332,4438,15801,23.238,2220.564,87.036,2052,2410
36,23.238,11320.019,3194.598,4461,15499,23.238,2224.691,88.971,2080,2409
37,23.238,11371.945,3188.540,4461,16018,23.238,2223.091,81.187,2067,2393
38,23.238,11346.109,3142.249,4497,15587,23.238,2225.182,88.611,2060,2399
39,23.238,11358.654,3155.637,4419,15737,23.238,2217.527,87.708,2070,2418
40,23.238,11337.363,3172.005,4532,15632,23.238,2214.764,81.365,2056,2394
41,23.238,11372.437,3177.362,4481,15682,23.238,2217.800,88.162,2052,2392
42,23.238,11394.454,3201.324,4444,15714,23.238,2228.073,83.823,2069,2394
43,23.238,11393.473,3189.594,4410,15720,23.238,2214.146,91.661,2062,2477
44,23.238,11395.563,3164.409,4416,15455,23.238,2232.182,97.436,2076,2411
45,23.238,11421.091,3198.653,4423,15780,23.238,2222.873,89.518,2067,2389
46,23.238,11411.709,3208.314,4473,15690,23.238,2217.255,86.569,2030,2394
47,23.238,11405.582,3185.513,4519,15638,23.238,2216.200,82.772,2084,2404
48,23.238,11424.854,3249.369,4353,15898,23.238,2217.745,78.262,2036,2375
49,23.238,11463.363,3213.419,4454,15700,23.238,2219.818,89.182,2073,2447
50,23.238,11435.981,3271.535,4438,16211,23.238,2215.255,82.702,2067,2363
51,23.238,11473.782,3227.209,4579,15951,23.238,2220.291,72.330,2107,2369
52,23.238,11503.346,3222.390,4454,15800,23.238,2224.673,87.665,2056,2417
53,23.238,11551.764,3222.256,4528,15708,23.238,2229.291,83.987,2102,2422
54,23.238,11558.964,3241.051,4528,16086,23.238,2224.927,90.426,2097,2438
55,23.238,11578.873,3295.570,4433,16104,23.238,2220.036,85.895,2045,2405
56,23.238,11600.854,3289.168,4499,16038,23.238,2215.000,91.982,2008,2395
57,23.238,11527.690,3238.371,4519,16050,23.238,2218.709,76.991,2091,2350
58,23.238,11546.072,3244.245,4479,15935,23.238,2214.564,84.460,2061,2374
59,23.238,11494.363,3206.727,4501,15683,23.238,2228.491,81.622,2101,2374
60,23.238,11492.418,3230.542,4468,15983,23.238,2223.745,80.750,2075,2395
61,23.238,11422.563,3197.264,4488,15853,23.238,2218.218,83.754,2068,2377
62,23.238,11465.764,3217.557,4448,15751,23.238,2210.236,87.887,2069,2419
63,23.238,11444.327,3190.930,4513,16147,23.238,2218.364,90.349,2078,2397
64,23.238,11445.091,3230.619,4430,15858,23.238,2219.200,88.438,2045,2393
65,23.238,11428.964,3230.598,4535,15998,23.238,2214.764,78.661,2066,2384
66,23.238,11464.454,3232.007,4342,15958,23.238,2227.854,92.162,2061,2416
67,23.238,11448.291,3245.648,4426,15837,23.238,2223.782,75.175,2083,2372
68,23.238,11506.382,3257.816,4437,16092,23.238,2212.782,79.878,2058,2359
69,23.238,11477.854,3203.461,4486,15792,23.238,2207.054,83.928,2067,2417
70,23.238,11433.745,3223.201,4622,16030,23.238,2209.727,80.823,2084,2372
71,23.238,11512.255,3223.219,4497,15803,23.238,2213.545,77.037,2075,2361
72,23.238,11445.236,3206.683,4495,15957,23.238,2203.782,81.464,2005,2362
73,23.238,11463.382,3217.901,4634,16001,23.238,2214.545,78.904,2076,2368
74,23.238,11480.491,3224.756,4580,15952,23.238,2211.764,83.031,2052,2370
75,23.238,11520.019,3234.168,4473,15868,23.238,2214.018,85.641,2062,2410
76,23.238,11480.728,3228.337,4363,16191,23.238,2208.291,89.089,2024,2427
77,23.238,11436.236,3185.158,4501,15835,23.238,2207.636,82.926,2062,2393
78,23.238,11506.981,3206.810,4525,15873,23.238,2216.727,92.528,2063,2466
79,23.238,11430.909,3210.620,4531,15758,23.238,2212.309,93.734,2069,2406
80,23.238,11438.709,3184.509,4519,15773,23.238,2214.873,86.771,2038,2416
81,23.238,11449.964,3152.438,4661,15833,23.238,2218.509,89.174,2038,2393
82,23.238,11432.473,3175.701,4453,15810,23.238,2212.891,82.442,2078,2400
83,23.238,11409.418,3203.696,4396,15907,23.238,2211.545,83.231,2070,2443
84,23.238,11363.146,3159.327,4515,15832,23.238,2210.636,86.794,2059,2376
85,23.238,11342.327,3171.515,4494,15772,23.238,2210.255,73.561,2070,2365
86,23.238,11340.836,3172.364,4449,15828,23.238,2206.382,80.094,2044,2377
87,23.238,11355.782,3153.288,4556,15668,23.238,2213.527,74.574,2084,2344
88,23.238,11305.491,3126.662,4627,15555,23.238,2206.636,77.147,2040,2359
89,23.238,11299.272,3121.315,4520,15835,23.238,2216.836,84.533,2067,2377
90,23.238,11285.854,3139.517,4610,15545,23.238,2209.109,81.631,2029,2387
91,23.238,11268.236,3147.162,4588,15661,23.238,2214.273,77.695,2089,2393
92,23.238,11299.272,3149.791,4538,15763,23.238,2220.891,80.919,2087,2436
93,23.238,11338.109,3124.832,4675,15798,23.238,2205.182,74.076,2047,2343
94,23.238,11294.363,3146.709,4611,15648,23.238,2208.418,85.943,2055,2412
95,23.238,11309.491,3203.917,4513,15940,23.238,2205.655,75.409,2075,2389
96,23.238,11357.291,3153.444,4601,15650,23.238,2215.564,85.699,2052,2404
97,23.238,11391.146,3168.158,4516,15830,23.238,2211.255,79.161,2087,2414
98,23.238,11415.745,3153.612,4560,15635,23.238,2207.691,78.846,2085,2362
99,23.238,11485.036,3168.776,4489,15601,23.238,2209.745,81.118,2073,2360
100,23.238,11465.127,3150.899,4573,15638,23.238,2218.982,82.111,2054,2432
101,23.238,11491.182,3148.360,4557,15770,23.238,2200.455,74.136,2063,2355
102,23.238,11506.146,3138.914,4571,15741,23.238,2219.073,74.612,2073,2363
103,23.238,11566.800,3136.656,4508,15606,23.238,2211.400,89.977,2065,2385
104,23.238,11591.127,3166.446,4561,15802,23.238,2209.655,75.400,2050,2373
105,23.238,11586.690,3190.382,4560,15924,23.238,2210.727,77.566,2026,2391
106,23.238,11590.873,3186.356,4543,16048,23.238,2212.018,78.515,2069,2394
107,23.238,11609.418,3169.625,4501,15866,23.238,2210.273,72.304,2076,2352
108,23.238,11608.454,3156.993,4561,15861,23.238,2206.891,73.725,2065,2329
109,23.238,11605.363,3191.305,4420,16041,23.238,2218.764,81.012,2046,2388
110,23.238,11600.745,3154.076,4480,15854,23.238,2211.182,86.205,2068,2458
111,23.238,11614.327,3146.983,4499,15799,23.238,2213.673,77.582,2068,2383
112,23.238,11616.637,3182.947,4485,16051,23.238,2213.200,82.626,2074,2367
113,23.238,11602.346,3200.716,4540,15947,23.238,2211.509,83.201,2067,2418
114,23.238,11563.454,3195.351,4520,15890,23.238,2219.164,78.675,2088,2363
