 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
1,14.788,17941.486,3186.987,11853,23461,14.788,2656.143,74.151,2513,2812
2,14.788,17505.371,3138.000,11725,22788,14.788,2621.629,88.571,2469,2803
3,14.788,17281.029,3209.707,11536,22931,14.788,2615.743,74.973,2474,2779
4,14.788,17307.400,3152.286,11939,22798,14.788,2616.886,78.059,2484,2803
5,14.788,17160.000,3112.863,11788,22295,14.788,2586.343,67.897,2447,2708
6,14.788,16913.656,3130.062,11802,22495,14.788,2584.314,67.115,2459,2764
7,14.788,16953.715,3025.341,12174,22182,14.788,2564.229,79.461,2441,2754
8,14.788,17062.029,3147.765,11954,22624,14.788,2570.114,83.042,2452,2770
9,14.788,16882.172,3118.368,11934,22362,14.788,2560.686,68.381,2434,2703
10,14.788,16797.457,3097.780,11814,22076,14.788,2569.200,73.830,2413,2724
11,14.788,16907.457,3243.549,11400,22169,14.788,2562.714,79.254,2394,2777
12,14.788,16876.457,3224.764,11200,22559,14.788,2545.229,76.139,2422,2754
13,14.788,16653.285,3208.492,10670,22064,14.788,2553.086,88.392,2376,2806
14,14.788,16844.828,3062.935,11684,22139,14.788,2554.000,66.055,2441,2736
15,14.788,16867.656,3053.121,11943,22208,14.788,2556.000,89.858,2394,2778
16,14.788,16912.029,3076.862,12131,22277,14.788,2563.771,74.149,2406,2752
17,14.788,16759.115,3142.606,11757,22340,14.788,2575.029,71.679,2459,2746
18,14.788,16734.686,3171.538,11527,21992,14.788,2563.829,91.810,2430,2805
19,14.788,16696.115,3246.213,11240,22033,14.788,2577.600,83.603,2446,2753
20,14.788,16689.971,3252.207,11002,21875,14.788,2568.486,78.127,2443,2781
21,14.788,16613.086,3209.125,11091,22321,14.788,2568.400,86.254,2423,2789
22,14.788,16538.715,3215.966,10952,21767,14.788,2571.514,89.650,2433,2761
23,14.788,16455.115,3267.561,10524,21985,14.788,2560.057,80.231,2414,2743
24,14.788,16309.371,3261.928,10182,21622,14.788,2574.686,89.033,2443,2829
25,14.788,16255.714,3272.320,10003,21541,14.788,2571.486,77.280,2444,2730
26,14.788,15914.571,3793.288,8882,21653,14.788,2530.000,84.052,2380,2691
27,14.788,15856.200,3700.811,9201,21521,14.788,2527.971,55.599,2442,2668
28,14.788,15826.743,3657.157,8922,21568,14.788,2544.057,71.629,2396,2710
29,14.788,15843.286,3640.967,9194,21378,14.788,2547.229,67.905,2412,2688
30,14.788,15848.828,3577.876,9247,21557,14.788,2549.428,65.628,2454,2727
31,14.788,15848.114,3569.029,9354,21368,14.788,2538.114,60.952,2383,2642
32,14.788,16047.485,3146.636,10062,21168,14.788,2552.143,74.853,2439,2755
33,14.788,16023.200,3176.354,10420,21242,14.788,2541.572,68.297,2396,2693
34,14.788,16340.257,2937.226,10609,21302,14.788,2577.714,71.959,2471,2788
35,14.788,16241.457,2843.278,10611,21209,14.788,2557.686,68.237,2379,2688
36,14.788,15714.828,3471.148,9373,21103,14.788,2552.400,69.802,2417,2714
37,14.788,15682.314,3470.525,9210,20763,14.788,2561.914,72.152,2414,2730
38,14.788,15684.972,3489.258,9334,20719,14.788,2528.343,72.512,2398,2713
39,14.788,15696.886,3508.863,9182,21129,14.788,2544.086,73.246,2436,2675
40,14.788,15651.942,3485.836,9026,20806,14.788,2541.257,78.293,2360,2686
41,14.788,15618.629,3422.464,9309,20689,14.788,2537.657,70.638,2410,2702
42,14.788,15575.942,3422.725,9360,20846,14.788,2545.714,64.993,2440,2711
43,14.788,15586.686,3560.525,9088,20776,14.788,2543.572,81.779,2407,2761
44,14.788,16114.857,2815.427,11532,20738,14.788,2562.086,69.054,2446,2713
45,14.788,16149.571,2804.823,11054,20853,14.788,2541.371,53.255,2441,2656
46,14.788,16165.058,2802.573,11032,20742,14.788,2550.114,62.851,2405,2691
47,14.788,16098.028,2886.594,10659,21050,14.788,2551.943,71.441,2433,2721
48,14.788,16047.571,2848.108,10379,20770,14.788,2555.943,75.645,2380,2738
49,14.788,15500.114,3547.303,9092,21031,14.788,2541.914,72.354,2437,2724
50,14.788,15838.114,3175.666,9071,20925,14.788,2538.171,63.241,2434,2683
51,14.788,15835.429,3151.341,8997,21036,14.788,2542.257,62.834,2442,2671
52,14.788,15832.143,3108.187,9323,20548,14.788,2535.086,67.979,2450,2686
53,14.788,15786.771,3115.772,9323,20948,14.788,2530.629,61.626,2408,2630
54,14.788,15668.257,3037.066,9429,20953,14.788,2539.086,52.419,2438,2667
55,14.788,15821.743,2885.438,9731,20454,14.788,2532.371,67.429,2416,2686
56,14.788,15872.172,2883.872,9882,20950,14.788,2536.000,52.754,2432,2648
57,14.788,15966.400,2620.098,10760,20582,14.788,2541.800,78.078,2335,2669
58,14.788,16050.314,2548.183,11863,20449,14.788,2539.629,64.837,2407,2677
59,14.788,15872.429,2811.640,10251,20572,14.788,2537.971,55.314,2393,2627
60,14.788,15828.942,2747.097,10331,20620,14.788,2527.657,75.366,2371,2679
61,14.788,15759.629,2726.879,10294,20527,14.788,2536.057,72.415,2339,2664
62,14.788,15724.657,2687.574,10272,20199,14.788,2524.514,62.220,2394,2676
63,14.788,15778.886,2716.312,10587,20430,14.788,2535.286,58.899,2424,2693
64,14.788,15703.828,2704.633,10482,20389,14.788,2544.229,52.865,2441,2649
65,14.788,15750.571,2747.185,10441,20826,14.788,2538.229,61.545,2424,2647
66,14.788,15731.000,2646.011,10746,20263,14.788,2543.086,51.410,2439,2659
67,14.788,15670.657,2648.710,10886,19948,14.788,2547.771,66.420,2436,2752
68,14.788,15598.942,2598.862,11036,19983,14.788,2541.714,67.092,2384,2711
69,14.788,15549.600,2606.018,11343,20396,14.788,2553.572,67.335,2413,2674
70,14.788,15537.114,2569.117,11302,20138,14.788,2546.229,61.352,2422,2661
71,14.788,15512.886,2631.359,11414,19990,14.788,2538.057,68.027,2401,2676
72,14.788,15514.714,2653.419,11224,20308,14.788,2544.400,61.656,2442,2681
73,14.788,15485.429,2624.471,11153,20342,14.788,2549.543,72.890,2388,2707
74,14.788,15431.286,2612.407,11299,20316,14.788,2551.457,74.531,2402,2681
75,14.788,15413.515,2626.925,10982,20277,14.788,2549.371,54.574,2398,2643
76,14.788,15246.429,2681.581,11065,20231,14.788,2545.743,63.447,2433,2673
77,14.788,15270.485,2637.993,10537,20132,14.788,2543.486,61.039,2421,2648
78,14.788,15324.114,2684.841,10513,19775,14.788,2544.971,69.892,2412,2712
79,14.788,15236.229,2712.388,10092,20204,14.788,2550.486,71.096,2417,2702
80,14.788,15235.629,2766.897,9929,20156,14.788,2540.600,67.336,2381,2662
81,14.788,15194.657,3019.887,9016,19824,14.788,2531.686,72.608,2411,2683
82,14.788,15344.914,2705.974,10016,19739,14.788,2526.800,62.722,2398,2700
83,14.788,15228.314,2892.881,9489,20147,14.788,2531.886,71.639,2385,2664
84,14.788,15099.600,3043.392,8834,19999,14.788,2530.086,69.251,2411,2650
85,14.788,15105.457,3000.521,8895,20116,14.788,2530.114,59.893,2446,2657
86,14.788,14994.058,2929.585,9095,19482,14.788,2533.428,64.494,2387,2648
87,14.788,15057.400,2950.927,9279,19567,14.788,2534.371,78.118,2403,2727
88,14.788,15010.457,2905.281,9032,19600,14.788,2523.000,59.848,2423,2637
89,14.788,14982.172,3050.143,9194,19998,14.788,2535.143,59.441,2372,2646
90,14.788,14943.686,2935.841,9139,20000,14.788,2516.200,79.699,2393,2665
91,14.788,15044.714,2906.317,9285,19710,14.788,2539.086,66.645,2394,2677
92,14.788,15002.457,2880.740,9536,19691,14.788,2520.629,72.225,2401,2692
93,14.788,15043.629,2863.504,9777,19603,14.788,2514.543,54.704,2399,2666
94,14.788,15016.114,2890.994,9560,19680,14.788,2521.543,57.635,2404,2671
95,14.788,14982.629,2846.444,9864,19672,14.788,2521.086,66.999,2385,2676
96,14.788,14982.743,2824.834,9668,19568,14.788,2532.971,63.110,2449,2660
97,14.788,14936.371,2838.951,9790,19713,14.788,2532.800,74.550,2419,2707
98,14.788,14900.371,2811.308,10073,19310,14.788,2529.886,52.832,2425,2628
99,14.788,14897.743,2841.434,10016,19378,14.788,2534.829,63.705,2438,2689
100,14.788,14940.914,2891.227,10150,19993,14.788,2522.514,60.231,2425,2641
101,14.788,14896.286,2817.287,10184,19440,14.788,2533.400,65.885,2398,2677
102,14.788,14830.543,2827.428,10247,19382,14.788,2521.029,65.245,2407,2751
103,14.788,14861.058,2780.008,10327,19535,14.788,2533.943,80.594,2422,2748
104,14.788,14772.800,2795.987,10468,19623,14.788,2531.457,64.924,2441,2737
105,14.788,14747.429,2815.528,10207,19459,14.788,2520.971,68.173,2384,2652
106,14.788,14751.257,2795.909,10286,19286,14.788,2519.714,60.913,2422,2654
107,14.788,14735.114,2811.844,10063,19613,14.788,2523.428,60.589,2373,2668
108,14.788,14766.343,2851.488,10061,19533,14.788,2525.572,60.034,2389,2629
109,14.788,14671.000,2847.565,9657,19521,14.788,2525.629,65.220,2399,2659
110,14.788,14647.257,2891.373,9843,19638,14.788,2523.486,66.394,2401,2621
111,14.788,14533.086,2975.130,9227,19665,14.788,2530.857,67.904,2434,2744
112,14.788,14452.600,2968.999,8904,19410,14.788,2526.400,66.200,2400,2654
113,14.788,14671.714,2861.431,9912,19299,14.788,2514.428,72.540,2392,2665
114,14.788,14418.229,3054.268,9041,19117,14.788,2504.457,71.184,2377,2671
115,14.788,14504.143,2947.642,8856,19333,14.788,2522.857,76.320,2394,2701
116,14.788,14472.629,2920.633,8979,19326,14.788,2526.886,68.405,2390,2676
117,14.788,14376.200,3092.631,8486,19066,14.788,2521.400,61.389,2401,2652
118,14.788,14354.600,3014.210,8413,19300,14.788,2526.657,59.770,2415,2661
119,14.788,14356.172,3008.385,8386,19231,14.788,2510.171,61.363,2351,2629
120,14.788,14626.200,2843.277,8802,19057,14.788,2541.428,68.518,2412,2656
121,14.788,14632.286,2830.037,8601,19090,14.788,2545.686,70.565,2434,2670
122,14.788,14640.257,2832.447,8832,18982,14.788,2537.314,64.806,2419,2679
123,14.788,14670.972,2703.412,9135,18986,14.788,2525.343,68.569,2393,2658
124,14.788,14709.058,2710.652,9351,19064,14.788,2527.229,73.582,2411,2735
125,14.788,14667.886,2767.361,9170,19077,14.788,2525.428,61.092,2401,2674
126,14.788,14708.972,2711.689,9124,19014,14.788,2538.943,65.909,2424,2694
127,14.788,14621.771,2754.420,9248,19037,14.788,2545.229,62.796,2453,2699
128,14.788,14646.515,2628.896,9526,18622,14.788,2522.514,58.103,2394,2624
129,14.788,14727.942,2665.756,9699,19028,14.788,2518.114,71.647,2396,2702
130,14.788,14695.743,2675.050,9688,19096,14.788,2542.257,67.109,2428,2662
131,14.788,14634.657,2630.698,9700,18814,14.788,2523.514,67.701,2385,2686
132,14.788,14667.942,2663.045,9536,18906,14.788,2513.572,59.655,2348,2643
133,14.788,14573.229,2589.965,9538,18920,14.788,2529.857,69.791,2406,2684
134,14.788,14590.229,2576.670,9672,19045,14.788,2530.114,77.298,2401,2763
135,14.788,14634.686,2659.911,9112,18958,14.788,2534.971,69.803,2386,2671
136,14.788,14679.543,2676.412,9517,19044,14.788,2527.857,56.478,2415,2641
